sample_id,scenario_id,split,ground_truth,whisper_transcript,wer,is_error,avg_logprob,no_speech_prob,compression_ratio,temperature,language
nlu_0179_03,S0179,train,"The current available evidence requires further review, especially in relation to the relationship between atorvastatin and statin; during the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers statin.","The current available evidence requires further review, especially in relation to the relationship between Ador Vastatin and Statin. During the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers Statin.",0.142857142857143,1,-0.285150227723298,0.00912809185683727,1.58333333333333,0,en
nlu_0392_08,S0392,train,"The case involves the reported concern involving defendant, and the relevant relevant records is being assessed; as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.","The case involves the reported concern involving defendant, and the relevant, relevant records is being assessed, as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.",0.0540540540540541,1,-0.144344087080522,0.00984738022089005,1.60606060606061,0,en
nlu_0023_02,S0023,train,"The team is evaluating coronary artery disease in the context of atherosclerotic plaque, with particular attention to the reported issue; as part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.","The team is evaluating coronary artery disease in the context of atherosclerotic plaque, with particular attention to the reported issue. As part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.",0.0487804878048781,1,-0.124572858972065,0.00559039274230599,1.59322033898305,0,en
nlu_0214_06,S0214,train,"The available evidence was considered before deciding how to address the current status of mortgage underwriting; at the current stage, the responsible specialist, while considering the current evidence.","The available evidence was considered before deciding how to address the current status of mortgage underwriting. At the current stage, the responsible specialist, while considering the current evidence.",0.0714285714285714,1,-0.221629953384399,0.00478070648387075,1.51492537313433,0,en
nlu_0523_05,S0523,train,"Can you tell me how to ask about a delivery, given after the latest information became available, the person handling the matter, after the latest information was reviewed?",Can you tell me how to ask about a delivery given after the latest information became available? The person handling the matter after the latest information was reviewed.,0.178571428571429,1,-0.266309901646205,0.008167939260602,1.45299145299145,0,en
nlu_0117_09,S0117,train,"The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes; during the latest review, the assigned professional, during the present round of discussion.","The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes. During the latest review, the assigned professional during the present round of discussion.",0.0882352941176471,1,-0.141268533209096,0.0165401808917522,1.59731543624161,0,en
nlu_0088_10,S0088,train,"Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction; during the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.","Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction. During the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.",0.0571428571428571,1,-0.129870751324822,0.0115908998996019,1.57142857142857,0,en
nlu_0016_07,S0016,train,"The latest analysis focused on the evidence related to ventricular response; following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fibrillation.","The latest analysis focused on the evidence related to ventricular response, following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fibrillation.",0.0333333333333333,1,-0.20846937013709,0.00815840810537338,1.54304635761589,0,en
nlu_0166_08,S0166,validation,"The case involves the reported concern involving warfarin, and the relevant relevant records is being assessed; after the latest information became available, the current reviewer, while comparing the available options. The record specifically references warfarin.","The case involves the reported concern involving Warfarin, and the relevant relevant records is being assessed. After the latest information became available, the current reviewer, while comparing the available options. The record specifically references Warfarin.",0.114285714285714,1,-0.24926609652383,0.0106689091771841,1.56213017751479,0,en
nlu_0033_04,S0033,unseen,"A detailed validation was requested concerning the implications of troponin; as part of the current review, the relevant team, during the present round of discussion.","A detailed validation was requested concerning the implications of Tropynon. As part of the current review, the relevant team during the present round of discussion.",0.12,1,-0.405382919311523,0.006310167722404,1.35245901639344,0,en
nlu_0531_03,S0531,train,"Please help me confirm a meeting; this is after the latest information became available, the case team, during the present round of discussion.","Please help me confirm a meeting. This is after the latest information became available, the case team, during the present round of discussion.",0.0869565217391304,1,-0.25725981593132,0.0132818063721061,1.27678571428571,0,en
nlu_0262_02,S0262,train,"The team is evaluating portfolio allocation in the context of asset weights, with particular attention to the reported issue; as part of the current review, the reviewing organization, while considering the current evidence. The record specifically references portfolio allocation.","The team is evaluating portfolio allocation in the context of asset weights, with particular attention to the reported issue. As part of the current review, the reviewing organization, while considering the current evidence. The record specifically references portfolio allocation.",0.0512820512820513,1,-0.142747200452364,0.00741395354270935,1.63372093023256,0,en
nlu_0082_02,S0082,unseen,"The team is evaluating cerebral infarction in the context of diffusion restriction, with particular attention to the reported issue; during the latest review, the reviewing group, while considering the current evidence. The record specifically references cerebral infarction.","The team is evaluating cerebral infarction in the context of diffusion restriction, with particular attention to the reported issue, during the latest review, the reviewing group, while considering the current evidence. The record specifically references cerebral infarction.",0.027027027027027,1,-0.120154849120549,0.00897433329373598,1.61764705882353,0,en
nlu_0040_04,S0040,train,"A detailed case was requested concerning the implications of troponin; during the latest review, the assigned professional, while considering the current evidence.","A detailed case was requested concerning the implications of troponin. During the latest review, the assigned professional, while considering the current evidence.",0.0909090909090909,1,-0.319662238612319,0.0037482250481844,1.36974789915966,0,en
nlu_0360_04,S0360,train,"A detailed case was requested concerning the implications of material breach; at the current stage, the person handling the matter, while comparing the available options.","A detailed case was requested concerning the implications of material breach. At the current stage, the person handling the matter while comparing the available options.",0.12,1,-0.228734883395108,0.00423744972795248,1.39669421487603,0,en
nlu_0264_09,S0264,train,"The professional handling the matter is reviewing the effect of diversification on the overall situation and the associated observed changes; as part of the current review, the relevant team, after the latest information was reviewed.","The professional handling the matter is reviewing the effect of diversification on the overall situation and the associated observed changes. As part of the current review, the relevant team, after the latest information, was reviewed.",0.0857142857142857,1,-0.181639007900072,0.00767120579257608,1.5359477124183,0,en
nlu_0219_08,S0219,train,"The case involves the reported concern involving mortgage underwriting, and the relevant relevant records is being assessed; during the most recent assessment, the technical or professional team, before the next decision. The record specifically references mortgage underwriting.","The case involves the reported concern involving mortgage underwriting, and the relevant, relevant records is being assessed during the most recent assessment, the technical or professional team, before the next decision. The record specifically references mortgage underwriting.",0.0540540540540541,1,-0.251569147463198,0.00942778028547764,1.69090909090909,0,en
nlu_0536_02,S0536,train,"Could you help me with check a booking? This is at the current stage, the reviewing group, while comparing the available options.","Could you help me with check-up booking? This is at the current stage, the reviewing group, while comparing the available options.",0.0909090909090909,1,-0.265160501003265,0.015863036736846,1.18181818181818,0,en
nlu_0032_10,S0032,train,"Further review is needed before a final decision is made about the decision surrounding ischemic pattern; during the most recent assessment, the relevant team, while comparing the available options. The record specifically references ST-segment elevation.",Further review is needed before a final decision is made about the decision surrounding ischemic pattern during the most recent assessment the relevant team while comparing the available options. The record specifically references ST segment elevation.,0.142857142857143,1,-0.182568528917101,0.00466129509732127,1.52727272727273,0,en
nlu_0017_08,S0017,train,"The case involves the reported concern involving coronary artery disease, and the relevant relevant records is being assessed; during the ongoing evaluation, the assigned professional, while comparing the available options. The record specifically references coronary artery disease.","The case involves the reported concern involving coronary artery disease and the relevant relevant records is being assessed. During the ongoing evaluation, the assigned professional, while comparing the available options. The record specifically references coronary artery disease.",0.0810810810810811,1,-0.272506526872224,0.0060579851269722,1.67857142857143,0,en
nlu_0075_07,S0075,train,"The latest review focused on the evidence related to focal neurological deficit; as part of the current review, the current reviewer, before the matter is finalized. The discussion also considers cerebral infarction.","The latest review focused on the evidence related to focal neurological deficit. As part of the current review, the current reviewer, before the matter, is finalized. The discussion also considers cerebral infarction.",0.09375,1,-0.225127402772295,0.00724365469068289,1.51748251748252,0,en
nlu_0548_01,S0548,validation,"I need help with change a reservation, at the current stage, the assigned professional, while considering the current evidence.","I need help with change or reservation at the current stage, the assigned professional, while considering the current evidence.",0.105263157894737,1,-0.290787078716137,0.00628952821716666,1.29591836734694,0,en
nlu_0371_08,S0371,unseen,"The case involves the reported concern involving termination provision, and the relevant relevant records is being assessed; in the current round of review, the person handling the matter, before the next decision. The record specifically references termination provision.","The case involves the reported concern involving termination provision, and the relevant relevant records is being assessed. In the current round of review, the person handling the matter before the next decision. The record specifically references termination provision.",0.0789473684210526,1,-0.253726684130155,0.00959786027669907,1.63253012048193,0,en
