token_id,raw_token,is_timestamp,decoder_log_prob,confidence
50258,<|startoftranscript|>,False,0.0,1.0
50259,<|en|>,False,0.0,1.0
50360,<|transcribe|>,False,0.0,1.0
50365,<|0.00|>,True,-0.09716796875,0.9074035778873168
2425,ĠHello,False,-0.03857421875,0.9621602917556054
11,",",False,-0.052001953125,0.9493270126867572
286,ĠI,False,-0.002166748046875,0.9978355976571852
478,'m,False,-0.4765625,0.6209141198060958
428,Ġyour,False,-0.00238037109375,0.9976224597429292
4631,Ġdoctor,False,-0.0230712890625,0.9771928181302212
13,.,False,-0.039306640625,0.9614558425191738
286,ĠI,False,-0.61328125,0.5415709208598878
600,'ve,False,-0.0546875,0.9467809707821289
7500,Ġcarefully,False,-0.00168609619140625,0.9983153244702075
18429,Ġreviewed,False,-0.003509521484375,0.9964966296881549
428,Ġyour,False,-0.00604248046875,0.9939757386017611
1917,Ġheart,False,-0.08935546875,0.9145204323541657
6002,Ġmonitor,False,-0.0030975341796875,0.9969072582298153
27319,Ġreadings,False,-0.00146484375,0.9985362286099287
13,.,False,-0.0108642578125,0.9891945450937747
2555,ĠPlease,False,-0.3359375,0.7146677711559482
747,Ġtake,False,-0.0174560546875,0.9826954195735065
257,Ġa,False,-0.00982666015625,0.9902214637073802
2452,Ġdeep,False,-0.0115966796875,0.9884703026282059
6045,Ġbreath,False,-0.037109375,0.9635707390357156
293,Ġand,False,-0.053955078125,0.9474746678844189
5789,Ġrelax,False,-0.0015106201171875,0.9984905202950662
13,.,False,-0.0125732421875,0.9875054707842722
50709,<|6.88|>,True,-0.42578125,0.6532592269479727
50777,<|8.24|>,True,-1.4765625,0.2284215394097245
316,ĠA,False,-1.0078125,0.36501658064745907
569,ap,False,-0.08837890625,0.9154139549331975
8588,Ġbil,False,-0.04541015625,0.9556054538927926
74,k,False,-0.00811767578125,0.9919151835748132
425,ul,False,-0.00244140625,0.9975615715583991
417,Ġch,False,-0.4140625,0.6609596399974489
686,int,False,-1.171875,0.30978554847668166
545,ah,False,-11.4375,1.0783428504061669e-05
3803,Ġmat,False,-10.9375,1.777886794572054e-05
803,Ġke,False,-1.125,0.32465246735834974
68,e,False,-10.3125,3.3215298167313715e-05
4013,ji,False,-15.5625,1.7429788826727445e-07
1200,ye,False,-8.8125,0.00014886063876446985
13,.,False,-inf,0.0
50837,<|9.44|>,True,-1.3984375,0.24698257287629313
50870,<|10.10|>,True,-1.4453125,0.23567241741677974
389,ĠH,False,-0.84765625,0.42841786054332404
449,um,False,-0.2021484375,0.8169736494152335
257,Ġa,False,-0.06884765625,0.9334688773957814
569,ap,False,-0.00067901611328125,0.9993212143659904
330,ke,False,-0.06787109375,0.9343809133539388
601,Ġsa,False,-0.1025390625,0.9025428934825543
998,ath,False,-0.09716796875,0.9074035778873168
324,Ġha,False,-0.578125,0.5609491608144708
259,in,False,-0.006744384765625,0.9932783075534055
19145,Ġaur,False,-0.455078125,0.6343984036368634
5560,Ġsab,False,-0.07421875,0.9284685691258352
258,Ġth,False,-0.75390625,0.47052497007720323
1035,ik,False,-0.56640625,0.5675614520150244
1106,Ġho,False,-0.04638671875,0.9546727009616212
361,Ġj,False,-0.671875,0.5107500231290107
320,ay,False,-0.29296875,0.7460454542533906
6335,ega,False,-0.054443359375,0.9470121466986419
13,.,False,-0.01519775390625,0.984917149129836
50992,<|12.54|>,True,-0.84765625,0.42841786054332404
50257,<|endoftext|>,False,-0.00927734375,0.9907655580295027
50257,<|endoftext|>,False,-0.01007080078125,0.98997973992884
