cleaned_display_token,confidence
Hello,0.9621602917556054
",",0.9493270126867572
I,0.9978355976571852
'm,0.6209141198060958
your,0.9976224597429292
doctor,0.9771928181302212
.,0.9614558425191738
I,0.5415709208598878
've,0.9467809707821289
carefully,0.9983153244702075
reviewed,0.9964966296881549
your,0.9939757386017611
heart,0.9145204323541657
monitor,0.9969072582298153
readings,0.9985362286099287
.,0.9891945450937747
Please,0.7146677711559482
take,0.9826954195735065
a,0.9902214637073802
deep,0.9884703026282059
breath,0.9635707390357156
and,0.9474746678844189
relax,0.9984905202950662
.,0.9875054707842722
A,0.36501658064745907
ap,0.9154139549331975
bil,0.9556054538927926
k,0.9919151835748132
ul,0.9975615715583991
ch,0.6609596399974489
int,0.30978554847668166
ah,1.0783428504061669e-05
mat,1.777886794572054e-05
ke,0.32465246735834974
e,3.3215298167313715e-05
ji,1.7429788826727445e-07
ye,0.00014886063876446985
.,0.0
H,0.42841786054332404
um,0.8169736494152335
a,0.9334688773957814
ap,0.9993212143659904
ke,0.9343809133539388
sa,0.9025428934825543
ath,0.9074035778873168
ha,0.5609491608144708
in,0.9932783075534055
aur,0.6343984036368634
sab,0.9284685691258352
th,0.47052497007720323
ik,0.5675614520150244
ho,0.9546727009616212
j,0.5107500231290107
ay,0.7460454542533906
ega,0.9470121466986419
.,0.984917149129836
